emp_no,salary,from_date,to_date
10763,96521,1997-02-20,1998-02-20
10763,102468,2000-02-20,2001-02-19
10763,97963,1998-02-20,1999-02-20
10763,75844,1989-02-22,1990-02-22
10764,93899,1999-11-25,2000-11-24
10764,70720,1989-11-27,1990-11-27
10764,76823,1991-11-27,1992-11-26
10764,96507,2001-11-24,9999-01-01
10764,81047,1994-11-26,1995-11-26
10764,88686,1996-11-25,1997-11-25
10764,72792,1990-11-27,1991-11-27
10764,79252,1993-11-26,1994-11-26
10764,84287,1995-11-26,1996-11-25
10764,93033,1997-11-25,1998-11-25
10764,92666,1998-11-25,1999-11-25
10764,77688,1992-11-26,1993-11-26
10764,94929,2000-11-24,2001-11-24
10765,54339,1994-05-07,1994-05-11
10766,41112,2001-09-17,9999-01-01
10766,40528,2000-09-17,2001-09-17
10767,45165,2001-07-14,2002-07-14
10767,40651,1997-07-15,1998-07-15
10767,40800,1998-07-15,1999-07-15
10767,41990,1999-07-15,2000-07-14
10767,41685,2000-07-14,2001-07-14
10767,47680,2002-07-14,9999-01-01
10768,72917,1988-07-03,1989-07-03
10768,80247,1993-07-02,1994-07-02
10768,74694,1991-07-03,1992-07-02
10768,69619,1987-07-04,1988-07-03
10768,102666,2002-06-30,9999-01-01
10768,73673,1989-07-03,1990-07-03
10768,96461,2000-06-30,2001-06-30
10768,87424,1996-07-01,1997-07-01
10768,98496,2001-06-30,2002-06-30
10768,91135,1997-07-01,1998-07-01
10768,66975,1986-07-04,1987-07-04
10768,91836,1998-07-01,1999-07-01
10768,65717,1985-07-04,1986-07-04
10768,75798,1992-07-02,1993-07-02
10768,84335,1995-07-02,1996-07-01
10768,81641,1994-07-02,1995-07-02
10768,73611,1990-07-03,1991-07-03
10768,96292,1999-07-01,2000-06-30
10769,76096,1994-08-29,1995-08-29
10769,76416,1993-08-29,1994-08-29
10769,76303,1995-08-29,1996-08-28
10769,87447,1998-08-28,1999-08-28
10769,70229,1991-08-30,1992-08-29
10769,83983,1997-08-28,1998-08-28
10769,72438,1992-08-29,1993-08-29
10769,87041,1999-08-28,2000-08-27
10769,89759,2000-08-27,2001-08-27
10769,93880,2001-08-27,9999-01-01
10769,79946,1996-08-28,1997-08-28
10770,63401,1987-12-25,1988-12-24
10770,65685,1988-12-24,1989-02-27
10771,48345,1999-04-01,2000-03-31
10771,46549,1998-04-01,1999-04-01
10771,51323,2001-03-31,2002-03-31
10771,48351,2000-03-31,2001-03-31
10771,45702,1997-04-01,1998-04-01
10771,55120,2002-03-31,9999-01-01
10771,42658,1996-04-01,1997-04-01
10772,54758,1998-02-20,1999-02-20
10772,50271,1997-02-20,1998-02-20
10772,56296,2001-02-19,2002-02-19
10772,47901,1993-02-21,1994-02-21
10772,47208,1992-02-22,1993-02-21
10772,54403,1999-02-20,2000-02-20
10772,56078,2000-02-20,2001-02-19
10772,57184,2002-02-19,9999-01-01
10772,50806,1995-02-21,1996-02-21
10772,51282,1994-02-21,1995-02-21
10772,43586,1991-02-22,1992-02-22
10772,50567,1996-02-21,1997-02-20
10774,69890,2002-01-23,9999-01-01
10774,57377,1996-01-25,1997-01-24
10774,61692,1999-01-24,2000-01-24
10774,58172,1997-01-24,1998-01-24
10774,61366,1998-01-24,1999-01-24
10774,47119,1990-01-26,1991-01-26
10774,50490,1992-01-26,1993-01-25
10774,53015,1994-01-25,1995-01-25
10774,65403,2000-01-24,2001-01-23
10774,48685,1991-01-26,1992-01-26
10774,50417,1993-01-25,1994-01-25
10774,67167,2001-01-23,2002-01-23
10774,55438,1995-01-25,1996-01-25
10775,52695,1999-12-29,2000-12-28
10775,57607,2001-12-28,9999-01-01
10775,43876,1995-12-30,1996-12-29
10775,45789,1996-12-29,1997-12-29
10775,48468,1998-12-29,1999-12-29
10775,54403,2000-12-28,2001-12-28
10775,48233,1997-12-29,1998-12-29
10775,43898,1994-12-30,1995-12-30
10776,61309,1988-03-15,1989-03-15
10776,76621,1994-03-14,1995-03-14
10776,58145,1986-03-16,1987-03-16
10776,91412,2001-03-12,2002-03-12
10776,64590,1989-03-15,1990-03-15
10776,86891,1998-03-13,1999-03-13
10776,87443,1999-03-13,2000-03-12
10776,67214,1990-03-15,1991-03-15
10776,84309,1997-03-13,1998-03-13
10776,68950,1991-03-15,1992-03-14
10776,58146,1987-03-16,1988-03-15
10776,87841,2000-03-12,2001-03-12
10776,81372,1996-03-13,1997-03-13
10776,79556,1995-03-14,1996-03-13
10776,72734,1993-03-14,1994-03-14
10776,68795,1992-03-14,1993-03-14
10776,95712,2002-03-12,9999-01-01
10777,45654,1996-03-15,1997-03-15
10777,39806,1991-03-17,1992-03-16
10777,39964,1992-03-16,1993-03-16
10777,46081,1999-03-15,2000-03-14
10777,46514,2000-03-14,2001-03-14
10777,41743,1994-03-16,1995-03-16
10777,41609,1995-03-16,1996-03-15
10777,40143,1993-03-16,1994-03-16
10777,46571,1998-03-15,1999-03-15
10777,50233,2001-03-14,2001-03-27
10777,45396,1997-03-15,1998-03-15
10778,71491,1990-07-03,1991-07-03
10778,99510,2000-06-30,2001-06-30
10778,69186,1988-07-03,1989-07-03
10778,82899,1994-07-02,1995-07-02
10778,95054,1999-07-01,2000-06-30
10778,90556,1998-07-01,1999-07-01
10778,79394,1992-07-02,1993-07-02
10778,101432,2002-06-30,9999-01-01
10778,64996,1986-07-04,1987-07-04
10778,99073,2001-06-30,2002-06-30
10778,79556,1993-07-02,1994-07-02
10778,86302,1996-07-01,1997-07-01
10778,70903,1989-07-03,1990-07-03
10778,75569,1991-07-03,1992-07-02
10778,84181,1995-07-02,1996-07-01
10778,86730,1997-07-01,1998-07-01
10778,68527,1987-07-04,1988-07-03
10779,69964,1999-01-08,2000-01-08
10779,68400,1998-01-08,1999-01-08
10779,67702,1997-01-08,1998-01-08
10779,74483,2001-01-07,2002-01-07
10779,58309,1992-01-10,1993-01-09
10779,78769,2002-01-07,9999-01-01
10779,67765,1996-01-09,1997-01-08
10779,47332,1988-01-11,1989-01-10
10779,56669,1991-01-10,1992-01-10
10779,72836,2000-01-08,2001-01-07
10779,48446,1989-01-10,1990-01-10
10779,62604,1994-01-09,1995-01-09
10779,64592,1995-01-09,1996-01-09
10779,52397,1990-01-10,1991-01-10
10779,58225,1993-01-09,1994-01-09
10780,45105,1995-08-01,1996-07-31
10780,44734,1996-07-31,1996-08-18
10780,43654,1994-08-01,1995-08-01
10781,42379,1994-02-03,1995-02-03
10781,39538,1993-02-03,1994-02-03
10781,39957,1992-02-04,1993-02-03
10781,45571,1996-02-03,1997-02-02
10781,51667,2000-02-02,2001-02-01
10781,56794,2002-02-01,9999-01-01
10781,56133,2001-02-01,2002-02-01
10781,46769,1997-02-02,1998-02-02
10781,50314,1999-02-02,2000-02-02
10781,49353,1998-02-02,1999-02-02
10781,44096,1995-02-03,1996-02-03
10782,48915,2001-07-05,2002-03-30
10782,49328,2000-07-05,2001-07-05
10782,46789,1999-07-06,2000-07-05
10782,43454,1998-07-06,1999-07-06
10783,43243,1997-05-14,1998-05-14
10783,55420,2002-05-13,9999-01-01
10783,53381,2001-05-13,2002-05-13
10783,50599,1999-05-14,2000-05-13
10783,43474,1995-05-15,1996-05-14
10783,53176,2000-05-13,2001-05-13
10783,46672,1998-05-14,1999-05-14
10783,43328,1996-05-14,1997-05-14
10784,45323,1999-10-14,2000-10-13
10784,48195,2001-10-13,9999-01-01
10784,43003,1998-10-14,1999-10-14
10784,47701,2000-10-13,2001-10-13
10785,48623,1996-11-10,1997-11-10
10785,50195,1997-11-10,1998-11-10
10785,54358,2001-11-09,9999-01-01
10785,47858,1995-11-11,1996-11-10
10785,46165,1994-11-11,1995-11-11
10785,52263,1999-11-10,2000-11-09
10785,54241,2000-11-09,2001-11-09
10785,50659,1998-11-10,1999-11-10
10786,43372,1999-06-06,2000-06-05
10786,45650,2001-06-05,2002-06-05
10786,41757,1998-06-06,1999-06-06
10786,43961,2000-06-05,2001-06-05
10786,47349,2002-06-05,9999-01-01
10787,64979,2001-07-16,2002-07-16
10787,59506,1998-07-17,1999-07-17
10787,51707,1991-07-19,1992-07-18
10787,51740,1994-07-18,1995-07-18
10787,52334,1995-07-18,1996-07-17
10787,69401,2002-07-16,2002-07-27
10787,52028,1993-07-18,1994-07-18
10787,62702,2000-07-16,2001-07-16
10787,53919,1996-07-17,1997-07-17
10787,51722,1992-07-18,1993-07-18
10787,56607,1997-07-17,1998-07-17
10787,62834,1999-07-17,2000-07-16
10788,62915,2000-05-28,2001-05-28
10788,63816,2001-05-28,2002-05-28
10788,58732,1999-05-29,2000-05-28
10788,67353,2002-05-28,9999-01-01
10788,54887,1998-05-29,1999-05-29
10789,45709,2002-01-25,9999-01-01
10789,42286,2001-01-25,2002-01-25
10789,40429,1999-01-26,2000-01-26
10789,41532,2000-01-26,2001-01-25
10790,66822,2002-03-01,9999-01-01
10790,63191,2000-03-01,2001-03-01
10790,65123,2001-03-01,2002-03-01
10790,62801,1999-03-02,2000-03-01
10791,66041,1999-07-28,2000-07-27
10791,46097,1991-07-30,1992-07-29
10791,64361,1997-07-28,1998-07-28
10791,43988,1989-07-30,1990-07-30
10791,60045,1996-07-28,1997-07-28
10791,68352,2000-07-27,2001-07-27
10791,52666,1993-07-29,1994-07-29
10791,64435,1998-07-28,1999-07-28
10791,71474,2002-07-27,9999-01-01
10791,68070,2001-07-27,2002-07-27
10791,43871,1990-07-30,1991-07-30
10791,55775,1994-07-29,1995-07-29
10791,57345,1995-07-29,1996-07-28
10791,49030,1992-07-29,1993-07-29
10792,75498,1991-08-09,1992-08-08
10792,66107,1986-08-10,1987-08-10
10792,81843,1993-08-08,1993-12-20
10792,72781,1989-08-09,1990-08-09
10792,73227,1990-08-09,1991-08-09
10792,70312,1988-08-09,1989-08-09
10792,79633,1992-08-08,1993-08-08
10792,68209,1987-08-10,1988-08-09
10792,63324,1985-08-10,1986-08-10
10793,54050,1998-09-16,1999-09-16
10793,44400,1992-09-17,1993-09-17
10793,47423,1993-09-17,1994-09-17
10793,58030,2001-09-15,9999-01-01
10793,55024,1999-09-16,2000-09-15
10793,47266,1995-09-17,1996-09-16
10793,55109,2000-09-15,2001-09-15
10793,43609,1991-09-18,1992-09-17
10793,51392,1997-09-16,1998-09-16
10793,50960,1996-09-16,1997-09-16
10793,47022,1994-09-17,1995-09-17
10794,52688,1999-05-23,2000-05-22
10794,51850,1998-05-23,1999-05-23
10794,58127,2001-05-22,2002-05-22
10794,43753,1995-05-24,1996-05-23
10794,47737,1997-05-23,1998-05-23
10794,59529,2002-05-22,9999-01-01
10794,47577,1996-05-23,1997-05-23
10794,43485,1994-05-24,1995-05-24
10794,53754,2000-05-22,2001-05-22
10795,93237,1998-05-02,1999-05-02
10795,97866,2000-05-01,2001-05-01
10795,101092,2001-05-01,2002-05-01
10795,93739,1999-05-02,2000-05-01
10795,84206,1993-05-03,1994-05-03
10795,89159,1996-05-02,1997-05-02
10795,88229,1994-05-03,1995-05-03
10795,88520,1995-05-03,1996-05-02
10795,90932,1997-05-02,1998-05-02
10795,104291,2002-05-01,9999-01-01
10796,41785,1990-11-08,1991-11-08
10796,43383,1993-11-07,1994-11-07
10796,48198,1997-11-06,1998-11-06
10796,50763,2001-11-05,9999-01-01
10796,50966,2000-11-05,2001-11-05
10796,47166,1995-11-07,1996-11-06
10796,43011,1992-11-07,1993-11-07
10796,50271,1998-11-06,1999-11-06
10796,46674,1994-11-07,1995-11-07
10796,48199,1996-11-06,1997-11-06
10796,50906,1999-11-06,2000-11-05
10796,42248,1991-11-08,1992-11-07
10797,63958,1996-08-19,1997-08-19
10797,63765,1997-08-19,1998-08-19
10797,48456,1991-08-21,1992-08-20
10797,63458,1999-08-19,2000-08-18
10797,66295,2000-08-18,2001-08-18
10797,53367,1993-08-20,1994-08-20
10797,45236,1990-08-21,1991-08-21
10797,49414,1992-08-20,1993-08-20
10797,57109,1994-08-20,1995-08-20
10797,41005,1988-08-21,1989-08-21
10797,60849,1995-08-20,1996-08-19
10797,42772,1989-08-21,1990-08-21
10797,69522,2001-08-18,9999-01-01
10797,63625,1998-08-19,1999-08-19
10798,55396,1998-09-21,1999-09-21
10798,55516,1999-09-21,2000-09-20
10798,57456,2001-09-20,9999-01-01
10798,48210,1996-09-21,1997-09-21
10798,51473,1997-09-21,1998-09-21
10798,55419,2000-09-20,2001-09-20
10799,62516,1997-02-27,1998-02-27
10799,60001,1996-02-28,1997-02-27
10799,51098,1991-03-01,1992-02-29
10799,66681,1999-02-27,2000-02-27
10799,50972,1990-03-01,1991-03-01
10799,50539,1989-03-01,1990-03-01
10799,68349,2000-02-27,2001-02-26
10799,55817,1995-02-28,1996-02-28
10799,63487,1998-02-27,1999-02-27
10799,68020,2001-02-26,2002-02-26
10799,53227,1993-02-28,1994-02-28
10799,68340,2002-02-26,9999-01-01
10799,54631,1994-02-28,1995-02-28
10799,51783,1992-02-29,1993-02-28
10800,60717,2001-05-18,2002-05-18
10800,44373,1994-05-20,1995-05-20
10800,61104,2002-05-18,9999-01-01
10800,46070,1996-05-19,1997-05-19
10800,46065,1995-05-20,1996-05-19
10800,56375,2000-05-18,2001-05-18
10800,53465,1998-05-19,1999-05-19
10800,56303,1999-05-19,2000-05-18
10800,50376,1997-05-19,1998-05-19
10801,69378,2000-04-06,2001-01-15
10801,67302,1998-04-07,1999-04-07
10801,67457,1999-04-07,2000-04-06
10802,39530,1986-08-24,1987-08-24
10802,52283,1993-08-22,1994-08-22
10802,58166,1996-08-21,1997-08-21
10802,65156,1999-08-21,2000-08-20
10802,68904,2001-08-20,9999-01-01
10802,50927,1992-08-22,1993-08-22
10802,42152,1988-08-23,1989-08-23
10802,50994,1991-08-23,1992-08-22
10802,55549,1995-08-22,1996-08-21
10802,62987,1998-08-21,1999-08-21
10802,45851,1989-08-23,1990-08-23
10802,50099,1990-08-23,1991-08-23
10802,69200,2000-08-20,2001-08-20
10802,42534,1987-08-24,1988-08-23
10802,52853,1994-08-22,1995-08-22
10802,60002,1997-08-21,1998-08-21
10803,74943,1996-04-18,1997-04-18
10803,78441,1998-04-18,1999-04-18
10803,54260,1988-04-20,1989-04-20
10803,78052,1999-04-18,2000-04-17
10803,58433,1990-04-20,1991-04-20
10803,67064,1994-04-19,1995-04-19
10803,82507,2001-04-17,2002-04-02
10803,71538,1995-04-19,1996-04-18
10803,64306,1992-04-19,1993-04-19
10803,76654,1997-04-18,1998-04-18
10803,55067,1989-04-20,1990-04-20
10803,61003,1991-04-20,1992-04-19
10803,79865,2000-04-17,2001-04-17
10803,64908,1993-04-19,1994-04-19
10804,41076,2000-06-08,2001-06-08
10804,40796,2001-06-08,2002-06-08
10804,41573,1999-06-09,2000-06-08
10804,40396,1998-06-09,1999-06-09
10804,44465,2002-06-08,9999-01-01
10805,52697,1988-05-25,1989-05-25
10805,48778,1987-05-26,1988-05-25
10805,56428,1989-05-25,1990-05-25
10805,67636,1996-05-23,1997-05-23
10805,74910,1998-05-23,1999-05-23
10805,87978,2002-05-22,9999-01-01
10805,59731,1991-05-25,1992-05-24
10805,66586,1995-05-24,1996-05-23
10805,62165,1993-05-24,1994-05-24
10805,61177,1992-05-24,1993-05-24
10805,78477,1999-05-23,2000-05-22
10805,64018,1994-05-24,1995-05-24
10805,58302,1990-05-25,1991-05-25
10805,86175,2001-05-22,2002-05-22
10805,70428,1997-05-23,1998-05-23
10805,82058,2000-05-22,2001-05-22
10806,64973,1994-04-25,1995-04-25
10806,63146,1993-04-25,1994-04-25
10806,71576,2000-04-23,2001-04-23
10806,66104,1996-04-24,1997-04-24
10806,69154,1997-04-24,1998-04-24
10806,76058,2001-04-23,2002-04-23
10806,66456,1995-04-25,1996-04-24
10806,70354,1998-04-24,1999-04-24
10806,79396,2002-04-23,9999-01-01
10806,70385,1999-04-24,2000-04-23
10807,60416,2000-10-18,2001-10-18
10807,60203,1999-10-19,2000-10-18
10807,60700,2001-10-18,9999-01-01
10808,41443,1990-03-06,1991-03-06
10808,51313,1993-03-05,1994-03-05
10808,58400,1995-03-05,1996-03-04
10808,65884,2002-03-03,9999-01-01
10808,59627,1996-03-04,1997-03-04
10808,54730,1994-03-05,1995-03-05
10808,65396,2001-03-03,2002-03-03
10808,65314,2000-03-03,2001-03-03
10808,39986,1988-03-06,1989-03-06
10808,64670,1998-03-04,1999-03-04
10808,40007,1989-03-06,1990-03-06
10808,60430,1997-03-04,1998-03-04
10808,48181,1992-03-05,1993-03-05
10808,44900,1991-03-06,1992-03-05
10808,64814,1999-03-04,2000-03-03
10809,45686,1991-02-24,1992-02-24
10809,58324,1999-02-22,2000-02-22
10809,64897,2001-02-21,2002-02-21
10809,40696,1989-02-24,1990-02-24
10809,69004,2002-02-21,9999-01-01
10809,42043,1990-02-24,1991-02-24
10809,57517,1998-02-22,1999-02-22
10809,50012,1994-02-23,1995-02-23
10809,55089,1997-02-22,1998-02-22
10809,40485,1988-02-25,1989-02-24
10809,60539,2000-02-22,2001-02-21
10809,51256,1996-02-23,1997-02-22
10809,46494,1992-02-24,1993-02-23
10809,47286,1993-02-23,1994-02-23
10809,50226,1995-02-23,1996-02-23
10810,60827,1997-09-06,1998-09-06
10810,56062,1994-09-07,1995-09-07
10810,63849,2000-09-05,2001-09-05
10810,56490,1995-09-07,1996-09-06
10810,63651,2001-09-05,9999-01-01
10810,59046,1996-09-06,1997-09-06
10810,63706,1999-09-06,2000-09-05
10810,61148,1998-09-06,1999-09-06
10811,41796,1998-07-08,1999-07-08
10811,44402,2000-07-07,2001-07-07
10811,43414,1999-07-08,2000-07-07
10811,50012,2002-07-07,9999-01-01
10811,46885,2001-07-07,2002-07-07
10812,51058,1997-09-20,1997-10-06
10812,49418,1996-09-20,1997-09-20
10813,66637,1995-04-26,1996-04-25
10813,61923,1993-04-26,1994-04-26
10813,72712,1997-04-25,1998-04-25
10813,79045,1999-04-25,2000-04-24
10813,83035,2002-04-24,9999-01-01
10813,81533,2001-04-24,2002-04-24
10813,57901,1992-04-26,1993-04-26
10813,53246,1990-04-27,1991-04-27
10813,64400,1994-04-26,1995-04-26
10813,69658,1996-04-25,1997-04-25
10813,78977,2000-04-24,2001-04-24
10813,53794,1991-04-27,1992-04-26
10813,76007,1998-04-25,1999-04-25
10814,78307,1999-07-16,2000-07-15
10814,59378,1993-07-17,1994-07-17
10814,76931,1998-07-16,1999-07-16
10814,63791,1994-07-17,1995-07-17
10814,71863,1996-07-16,1997-07-16
10814,80837,2000-07-15,2001-07-15
10814,81812,2001-07-15,2002-07-15
10814,67884,1995-07-17,1996-07-16
10814,75807,1997-07-16,1998-07-16
10814,83290,2002-07-15,9999-01-01
10815,47588,1998-04-18,1999-04-18
10815,50128,1999-04-18,2000-04-17
10815,54005,2000-04-17,2001-04-17
10815,47811,1997-04-18,1998-04-18
10815,41497,1995-04-19,1996-04-18
10815,44845,1996-04-18,1997-04-18
10815,57314,2002-04-17,9999-01-01
10815,56932,2001-04-17,2002-04-17
10816,59159,1995-05-21,1996-05-20
10816,53014,1993-05-21,1994-05-21
10816,49750,1992-05-21,1993-05-21
10816,68737,2002-05-19,9999-01-01
10816,62218,1999-05-20,2000-05-19
10816,66825,2001-05-19,2002-05-19
10816,59009,1996-05-20,1997-05-20
10816,64931,2000-05-19,2001-05-19
10816,50240,1991-05-22,1992-05-21
10816,56187,1994-05-21,1995-05-21
10816,62236,1998-05-20,1999-05-20
10816,58869,1997-05-20,1998-05-20
10817,72348,1999-12-24,2000-12-23
10817,76796,2000-12-23,2001-12-23
10817,59517,1993-12-25,1994-12-25
10817,54602,1990-12-26,1991-12-26
10817,63114,1995-12-25,1996-12-24
10817,61803,1994-12-25,1995-12-25
10817,70690,1998-12-24,1999-12-24
10817,69765,1997-12-24,1998-12-24
10817,67235,1996-12-24,1997-12-24
10817,54735,1991-12-26,1992-12-25
10817,55089,1992-12-25,1993-12-25
10817,78202,2001-12-23,9999-01-01
10818,46859,2001-04-08,2002-04-08
10818,43209,1999-04-09,2000-04-08
10818,43184,2000-04-08,2001-04-08
10818,50813,2002-04-08,9999-01-01
10819,71381,1995-07-31,1996-07-30
10819,81679,1999-07-30,1999-12-28
10819,54631,1986-08-02,1987-08-02
10819,77972,1997-07-30,1998-07-30
10819,58935,1988-08-01,1989-08-01
10819,66466,1992-07-31,1993-07-31
10819,63721,1991-08-01,1992-07-31
10819,58980,1987-08-02,1988-08-01
10819,70854,1994-07-31,1995-07-31
10819,78241,1998-07-30,1999-07-30
10819,61659,1989-08-01,1990-08-01
10819,75048,1996-07-30,1997-07-30
10819,68913,1993-07-31,1994-07-31
10819,61396,1990-08-01,1991-08-01
10820,62182,1992-06-26,1993-06-26
10820,83643,1998-06-25,1999-06-25
10820,85775,2000-06-24,2001-06-24
10820,87476,2002-06-24,9999-01-01
10820,75466,1996-06-25,1997-06-25
10820,67953,1994-06-26,1995-06-26
10820,79465,1997-06-25,1998-06-25
10820,85809,2001-06-24,2002-06-24
10820,84483,1999-06-25,2000-06-24
10820,70968,1995-06-26,1996-06-25
10820,63818,1993-06-26,1994-06-26
10821,42846,1989-10-06,1990-04-17
10822,76118,2000-01-08,2001-01-07
10822,77721,2002-01-07,9999-01-01
10822,59096,1993-01-09,1994-01-09
10822,71714,1999-01-08,2000-01-08
10822,61972,1994-01-09,1995-01-09
10822,69007,1997-01-08,1998-01-08
10822,62673,1995-01-09,1996-01-09
10822,52412,1990-01-10,1991-01-10
10822,47778,1988-01-11,1989-01-10
10822,71023,1998-01-08,1999-01-08
10822,40110,1986-01-11,1987-01-11
10822,56077,1992-01-10,1993-01-09
10822,54423,1991-01-10,1992-01-10
10822,65230,1996-01-09,1997-01-08
10822,44444,1987-01-11,1988-01-11
10822,49784,1989-01-10,1990-01-10
10822,77678,2001-01-07,2002-01-07
10823,40289,2000-08-18,2001-08-18
10823,40063,2001-08-18,9999-01-01
10824,60218,2000-07-30,2001-07-30
10824,52860,1997-07-31,1998-07-31
10824,55267,1998-07-31,1999-07-31
10824,57701,1999-07-31,2000-07-30
10824,48813,1995-08-01,1996-07-31
10824,60969,2002-07-30,9999-01-01
10824,60939,2001-07-30,2002-07-30
10824,49400,1996-07-31,1997-07-31
10825,79314,2001-12-02,9999-01-01
10825,79108,2000-12-02,2001-12-02
10825,69301,1995-12-04,1996-12-03
10825,62199,1993-12-04,1994-12-04
10825,66531,1994-12-04,1995-12-04
10825,77862,1999-12-03,2000-12-02
10825,74478,1998-12-03,1999-12-03
10825,69396,1996-12-03,1997-12-03
10825,73550,1997-12-03,1998-12-03
10826,69340,1998-01-21,1999-01-21
10826,64886,1997-01-21,1998-01-21
10826,76206,2001-01-20,2002-01-20
10826,63322,1995-01-22,1996-01-22
10826,60847,1994-01-22,1995-01-22
10826,75321,2000-01-21,2001-01-20
10826,63396,1996-01-22,1997-01-21
10826,71701,1999-01-21,2000-01-21
10826,59506,1993-01-22,1994-01-22
10826,79304,2002-01-20,9999-01-01
10827,58322,1996-11-07,1997-11-07
10827,64153,1999-11-07,2000-11-06
10827,65206,2001-11-06,9999-01-01
10827,65041,2000-11-06,2001-11-06
10827,61376,1997-11-07,1998-11-07
10827,64236,1998-11-07,1999-11-07
10828,60241,1989-02-13,1990-02-13
10828,60135,1988-02-14,1989-02-13
10828,56559,1986-02-14,1987-02-14
10828,57835,1987-02-14,1988-02-14
10828,61424,1990-02-13,1990-03-30
10830,47420,1991-08-24,1992-08-23
10830,67321,2000-08-21,2001-08-21
10830,56672,1995-08-23,1996-08-22
10830,58758,1997-08-22,1998-08-22
10830,57684,1996-08-22,1997-08-22
10830,50642,1993-08-23,1994-08-23
10830,59375,1998-08-22,1999-08-22
10830,63309,1999-08-22,2000-08-21
